"lemma_id","grammar"
"H0657a","N-mpc"
"H0657a","Prep-b | N-msc"
"H0657a","Conj-w, Prep-k | N-ms"
"H0657a","N-ms"
"H0657a","Prep-m | N-ms"
"H0657a","Prep-b | Adv"
"H0657a","Art | N-ms"
"H0657a","Prep-l | Adv"
"H0657a","Conj-w | Adv | 1cs"
"H0657a","Adv"
"H0657a","N-msc"
"H0657a","Conj-w | N-msc"
"H0657a","Conj-w | N-ms"
"H0657a","Conj-w, Prep-b | N-msc"
"H0657b","N-md"
"H0671a","N-proper-mpd"
"H0671b","Conj-w | N-proper-ms"
"H0682a","N-proper-ms"
"H0682a","Conj-w, Prep-l | N-proper-ms"
"H0682b","N-proper-fs"
"H0726","Conj-w | N-proper-mp"
"H0738a","Prep-k, Art | N-ms"
"H0738a","Prep-m | N-mp"
"H0738a","Prep-l | N-mp"
"H0738a","N-mpc"
"H0738a","N-mp"
"H0738a","Conj-w, Prep-k | N-ms"
"H0738a","N-ms"
"H0738a","Art | N-ms"
"H0738a","Prep-k | N-ms"
"H0738a","Prep-m | N-ms"
"H0738a","Art | N-mp"
"H0738b","Prep-l, Art | N-ms"
"H0738b","Conj-w, Art | N-ms"
"H0738b","Prep-k | N-ms"
"H0738b","Art | N-ms"
"H0738b","Conj-w | N-ms"
"H0738b","N-ms"
"H0741",""
"H0746a","Conj-w | N-proper-ms"
"H0746a","N-proper-ms"
"H0746b","N-proper-ms"
"H0746b","Prep-l | N-proper-ms"
"H0783a","Prep-l | N-proper-ms"
"H0783a","N-proper-ms"
"H0783b","Prep-l | N-proper-ms"
"H0783b","Conj-w | N-proper-ms"
"H0783b","N-proper-ms"
"H0805a","N-proper-mp"
"H0805b","Art | N-proper-ms"
"H0834a","Conj-w, Prep-l | Pro-r"
"H0834a"," Pro-r"
"H0834a","Pro-r"
"H0834a","Prep-l | Pro-r"
"H0834a","Prep"
"H0834a","Conj-w | Pro-r"
"H0834a","Adv-NegPrt"
"H0834b","Conj-w, Prep-b | Pro-r"
"H0834b","Prep-b | Pro-r"
"H0834c","Prep-m | Pro-r"
"H0834c","Conj-w, Prep-m | Pro-r"
"H0834d",""
"H0834d","Pro-r"
"H0834d","Prep-k | Pro-r"
"H0834d","Prep | Pro-r"
"H0834d","Conj-w, Prep-k | Pro-r"
"H0838a","N-fpc | 1cs"
"H0838a","Prep-b | N-fsc | 3ms"
"H0838a","Prep-l | N-fsc | 3ms"
"H0838a","N-fpc | 1cp"
"H0838a","N-fpc | 3ms"
"H0838b","N-fpc | 1cp"
"H0838b","N-fsc | 1cs"
"H0853","Prep | 2mp"
"H0853",""
"H0853","Conj-w | Prep | 1cp"
"H0853","Prep | 3fs"
"H0853","Conj-w, Prep-m"
"H0853","Prep"
"H0853","Prep | 3mp"
"H0853","Prep | 3fp"
"H0853","Conj-w | Prep | 3ms"
"H0853","Prep | 3ms"
"H0853","Prep | 2fs"
"H0853","Conj-w | Prep"
"H0853","Prep-m | 3ms"
"H0853","Conj-w | Prep | 3mp"
"H0853","Prep | 2ms"
"H0853","Prep | 1cp"
"H0853","Prep | 1cs"
"H0854","DirObjM | 1cs"
"H0854","Prep-m | DirObjM"
"H0854","DirObjM | 3ms"
"H0854","Prep-m | DirObjM | 3mp"
"H0854","DirObjM | 2ms"
"H0854","DirObjM | 1cp"
"H0854","Prep-m | DirObjM | 2fs"
"H0854","Prep-m | DirObjM | 2ms"
"H0854","Conj-w | DirObjM"
"H0854","Prep | DirObjM"
"H0854","Prep-m | DirObjM | 2mp"
"H0854","DirObjM"
"H0854","DirObjM | 3mp"
"H0854",""
"H0854","Prep-m | DirObjM | 1cs"
"H0854","Prep-m | DirObjM | 3ms"
"H0855","Conj-w | DirObjM"
"H0859a","Prep"
"H0859a","Pro-r | Pro-2ms"
"H0859a","Art | Pro-2ms"
"H0859a","Pro-2ms"
"H0859a","Conj-w | Pro-2ms"
"H0859b","Pro-2fs"
"H0859b","Conj-w | Pro-2fs"
"H0859b","Conj-w | Pro-2ms"
"H0859b","Pro-2ms"
"H0859c","Conj-w | Pro-2ms"
"H0859c","Conj-w | Pro-2fs"
"H0859c","Pro-2fs"
"H0859c","Pro-2ms"
"H0859d","Pro-2mp"
"H0859d","Conj-w | Pro-2mp"
"H0859d","Art | Pro-2mp"
"H0859e","Pro-2fp"
"H0859e","Conj-w | Pro-2fp"
"H0862a","Conj-w | N-mpc | 3fs"
"H0862b","N-ms"
"H0862b","N-mp"
"H0862b","Conj-w | N-mpc | 3fs"
"H0862b","Conj-w, Art | N-mp"
"H0894",""
"H0899a","Conj-w | N-ms"
"H0899a","N-ms"
"H0899b","N-msc | 1cs"
"H0899b","Conj-w | N-mpc"
"H0899b","Conj-w, Prep-l | N-mpc"
"H0899b","N-mpc | 3ms"
"H0899b","N-mpc | 1cp"
"H0899b","N-ms"
"H0899b","Prep-l | N-ms"
"H0899b","Conj-w | N-mp"
"H0899b","Prep-m | N-mpc | 2fs"
"H0899b","Prep-b | N-msc | 3ms"
"H0899b","N-mpc | 2fs"
"H0899b","N-msc | 3ms"
"H0899b","Prep-b | N-mpc | 3ms"
"H0899b","Art | N-mp"
"H0899b","Conj-w, Prep-k | N-msc"
"H0899b","Prep-b | N-mpc | 3mp"
"H0899b","Art | N-ms"
"H0899b","Prep-k | N-ms"
"H0899b","Conj-w | N-mpc | 2ms"
"H0899b","Conj-w | N-mpc | 2mp"
"H0899b","N-mpc | 1cs"
"H0899b","N-mpc | 3fs"
"H0899b","Prep-b | N-msc"
"H0899b","N-mpc | 2ms"
"H0899b","Prep-b | N-mpc"
"H0899b","N-mp"
"H0899b","Conj-w | N-ms"
"H0899b","N-mpc"
"H0899b","Conj-w | N-mpc | 3ms"
"H0899b","N-msc"
"H0899b","Prep-b, Art | N-mp"
"H0899b","N-mpc | 2mp"
"H0899b","N-mpc | 3mp"
"H0899b","Conj-w, Art | N-ms"
"H0899b","Prep-b, Art | N-ms"
"H0899b","Prep-k, Art | N-ms"
"H0936","V-Qal-Perf-3ms"
"H0953a","N-msc | 3ms"
"H0953a","Art | N-mp"
"H0953a","Prep-b, Art | N-ms"
"H0953a","Art | N-ms | 3fs"
"H0953a","Prep-m | N-msc | 2ms"
"H0953a","N-ms"
"H0953a","Conj-w, Prep-b, Art | N-ms"
"H0953a","Conj-w | N-mp"
"H0953a","N-msc"
"H0953a","Prep-m | N-msc"
"H0953a","Conj-w, Art | N-ms"
"H0953a","N-mp"
"H0953a","Conj-w, Prep-b, Art | N-mp"
"H0953a","Art | N-ms"
"H0953a","Conj-w | N-ms"
"H0953a","Prep-m | N-ms"
"H0953a","Prep-b | N-ms"
"H0953a","Art | N-msc"
"H0953b","Prep-m | N-proper-fs"
"H0973a","V-Qal-Perf-3fs"
"H0973b","V-Pual-Prtcpl-fs"
"H0975","N-mpc | 3ms"
"H0977","V-Qal-QalPassPrtcpl-mpc"
"H1004a","N-msc"
"H1004b","Conj-w, Prep-b | N-mpc | 3mp"
"H1004b","Prep-l, Art | N-mp"
"H1004b","Conj-w | N-msc | 2fs"
"H1004b","Prep-m | N-msc | 1cs"
"H1004b","Conj-w | N-msc"
"H1004b","Conj-w | N-mpc | 3mp"
"H1004b","Conj-w, Prep-m | N-proper-fs"
"H1004b","Conj-w | N-msc | 3ms"
"H1004b","Prep-m | N-mpc | 2mp"
"H1004b","Prep | N-msc"
"H1004b","Prep-m | N-ms | 3fs"
"H1004b","Conj-w, Prep-b | N-mpc"
"H1004b","Conj-w, Art | N-ms"
"H1004b","Conj-w | N-msc | 3fs"
"H1004b","N-mpc | 3mp"
"H1004b","Prep-m | N-msc"
"H1004b","N-ms | 3fs"
"H1004b","N-msc | 3ms"
"H1004b","Prep-l, Art | N-ms"
"H1004b","Prep-l | N-msc | 3fs"
"H1004b","Prep-l | N-msc | 2ms"
"H1004b","Conj-w | N-mpc | 2mp"
"H1004b","Prep-b | N-mpc | 2mp"
"H1004b","N-mpc | 2ms"
"H1004b","Prep-m | N-ms"
"H1004b","Prep-m | N-msc | 2ms"
"H1004b","Conj-w | N-ms | 3fs"
"H1004b","Prep-b | N-mpc"
"H1004b","Prep-l | N-msc | 3ms"
"H1004b","N-mpc | 3ms"
"H1004b","Conj-w, Prep-l, Art | N-ms"
"H1004b","Conj-w | N-msc | 2ms"
"H1004b","Prep-l | N-msc | 2fs"
"H1004b","N-msc | 3fs"
"H1004b","Prep-b, Art | N-msc"
"H1004b","Art | N-mp"
"H1004b","Prep-b, Art | N-ms"
"H1004b","Prep-b | N-msc | 3fs"
"H1004b","Prep | N-msc | 1cs"
"H1004b","Prep-b | N-msc | 1cs"
"H1004b","N-ms"
"H1004b","Conj-w | N-mp"
"H1004b","N-mpc | 2fs"
"H1004b","Prep-b | N-ms"
"H1004b","Conj-w | N-mpc"
"H1004b","N-mp"
"H1004b","Conj-w | N-mpc | 3fp"
"H1004b","Conj-w, Prep-b | N-mpc | 2ms"
"H1004b","N-mpc"
"H1004b","Conj-w | N-mpc | 1cp"
"H1004b","Conj-w, Prep-b | N-msc"
"H1004b","Conj-w, Prep-k | N-msc"
"H1004b","Art | N-ms | 3fs"
"H1004b","Prep-l | N-msc | 1cs"
"H1004b","Prep-l | N-msc"
"H1004b","Conj-w | N-msc | 1cs"
"H1004b","N-mpc | 1cp"
"H1004b","Conj-w, Prep-m | N-mpc | 2ms"
"H1004b","Prep-b | N-msc | 2ms"
"H1004b","Prep-l | N-mp"
"H1004b","Prep-m | N-mpc | 3mp"
"H1004b","Prep-m | N-msc | 3ms"
"H1004b","Conj-w, Prep-m | N-msc"
"H1004b","N-msc"
"H1004b","Art | N-ms"
"H1004b","Conj-w, Prep-b | N-msc | 1cs"
"H1004b","N-mpc | 2mp"
"H1004b",""
"H1004b","Art | N-msc"
"H1004b","Conj-w | N-msc | 2mp"
"H1004b","Prep-b | N-msc"
"H1004b","N-msc | 3mp"
"H1004b","N-msc | 2ms"
"H1004b","N-msc | 1cs"
"H1004b","Prep-k | N-msc"
"H1004b","Conj-w, Prep-l | N-msc"
"H1004b","Prep-b, Art | N-mp"
"H1004b","Conj-w, Prep-b | N-msc | 3ms"
"H1004b","Conj-w | N-ms"
"H1004b","Prep-m | N-mpc | 1cp"
"H1004b","Prep-m, Art | N-ms"
"H1004b","Conj-w, Prep-l | N-msc | 3ms"
"H1004b","Prep-b | N-msc | 3ms"
"H1004b","N-msc | 2fs"
"H1004b","Conj-w, Prep-l | N-msc | 2ms"
"H1004b","Conj-w, Prep-l, Prep-m | N-msc"
"H1006","Art | N-ms"
"H1023",""
"H1044","N-msc"
"H1046",""
"H1050",""
"H1069","Prep-l | V-Piel-Inf"
"H1089","Conj-w | V-Piel-Prtcpl-mp"
"H1090a","N-proper-fs"
"H1090b","Conj-w, Prep-b | N-proper-fs"
"H1099","Interrog"
"H1101a","V-Hitpael-Imperf-3ms"
"H1101a","V-Qal-QalPassPrtcpl-ms"
"H1101a","Conj-w | V-Qal-ConjImperf.Cohort-1cp"
"H1101a","V-Qal-Perf-1cs"
"H1101a","V-Qal-QalPassPrtcpl-fp"
"H1101a","V-Qal-Perf-3ms"
"H1101a","V-Qal-QalPassPrtcpl-fs"
"H1101b","Conj-w | V-Qal-ConsecImperf-3ms"
"H1106a","Conj-w | N-proper-ms"
"H1106a","N-proper-ms"
"H1106a","Prep-l | N-proper-ms"
"H1106b","N-proper-fs"
"H1109a","N-proper-ms"
"H1109a","Prep-l | N-proper-ms"
"H1109a","Conj-w | N-proper-ms"
"H1109b","N-proper-fs"
"H1116",""
"H1119",""
"H1121a","Prep-l | N-msc | 1cs"
"H1121a","Prep-b, Art | N-mp"
"H1121a","Prep-l | N-msc"
"H1121a","N-mpc | 1cs"
"H1121a","Prep-m | N-mpc | 3ms"
"H1121a","Conj-w, Prep-l | N-msc"
"H1121a","Prep-l | N-mpc | 3ms"
"H1121a","Conj-w | N-msc"
"H1121a","Conj-w, Prep-m | N-mpc | 2ms"
"H1121a","Art, Prep-l | N-msc"
"H1121a","Conj-w | N-msc | 2fs"
"H1121a","N-msc | 2ms"
"H1121a","Conj-w, Prep-l | N-mpc | 1cp"
"H1121a","Prep-l | N-mpc | 3fp"
"H1121a","Conj-w, Prep-m | N-msc"
"H1121a","Conj-w | N-mpc | 2ms"
"H1121a","Conj-w | N-msc | 1cs"
"H1121a","Conj-w | N-mpc | 3fp"
"H1121a","Prep-l | N-mpc | 1cp"
"H1121a","Prep-l | N-mpc | 2ms"
"H1121a","Conj-w | N-mpc | 3mp"
"H1121a","N-mpc | 3mp"
"H1121a","N-mpc | 3ms"
"H1121a","Prep-l | N-mpc | 2mp"
"H1121a","Conj-w, Prep-l | N-mpc | 1cs"
"H1121a","Conj-w, Prep-l | N-mpc | 3ms"
"H1121a","N-msc | 2fs"
"H1121a","Prep-l | N-mpc | 3mp"
"H1121a","N-msc | 3fs"
"H1121a","N-mpc"
"H1121a","Conj-w, Art | N-ms"
"H1121a","Conj-w | N-msc | 3ms"
"H1121a","Prep-b | N-msc"
"H1121a","Conj-w | N-mpc | 2fs"
"H1121a","N-mpc | 3fp"
"H1121a","Prep-l | N-mp"
"H1121a","Conj-w, Prep-l | N-msc | 1cs"
"H1121a","N-mpc | 2ms"
"H1121a","Prep-b | N-mpc | 2ms"
"H1121a","Conj-w | N-mpc | 2mp"
"H1121a","Prep-m | N-msc"
"H1121a","Prep-m | N-mpc | 3mp"
"H1121a","Conj-w | N-mp"
"H1121a","N-msc | 1cs"
"H1121a","Conj-w, Prep-b | N-mpc | 3fs"
"H1121a","Conj-w | N-mpc"
"H1121a","Conj-w, Prep-l | N-mpc | 2ms"
"H1121a","Conj-w, Prep-b | N-msc | 3fs"
"H1121a","N-msc | 3ms"
"H1121a","Prep-b | N-ms"
"H1121a","Prep-k | N-mpc"
"H1121a","Conj-w | N-mpc | 3ms"
"H1121a","Conj-w, Prep-b | N-mpc | 2ms"
"H1121a","Pro-r | N-msc"
"H1121a","Prep-l | N-mpc | 1cs"
"H1121a","Art | N-mp"
"H1121a","Prep-l | N-msc | 3ms"
"H1121a","Conj-w, Prep-l | N-msc | 3ms"
"H1121a","Conj-w, Prep-l | N-ms"
"H1121a","N-msc | 1cp"
"H1121a","Conj-w, Prep-l | N-mpc"
"H1121a","Conj-w | N-mpc | 1cp"
"H1121a","Prep-m | N-mpc | 2ms"
"H1121a","N-mpc | 3fs"
"H1121a","N-ms"
"H1121a","Conj-w, Prep-l | N-msc | 2fs"
"H1121a","Prep-m | N-mpc"
"H1121a","Prep-b | N-mpc"
"H1121a","Prep-b | N-msc | 3ms"
"H1121a","Conj-w, Prep-m | N-mpc"
"H1121a","Prep-l | N-ms"
"H1121a","Prep-l | N-mpc"
"H1121a","N-msc"
"H1121a","Conj-w | N-msc | 2ms"
"H1121a","Prep-l, Prep-m | N-msc"
"H1121a","Conj-w, Prep-l | N-msc | 2ms"
"H1121a","N-mpc | 2mp"
"H1121a","Conj-w, Prep-b | N-mpc"
"H1121a","N-mp"
"H1121a","Prep-l | N-msc | 2ms"
"H1121a","Conj-w | N-mpc | 3fs"
"H1121a","Prep-b | N-mpc | 3ms"
"H1121a","N-fpc | 3mp"
"H1121a","N-mpc | 2fs"
"H1121a","Art | N-ms"
"H1121a","Prep-m | N-mpc | 2mp"
"H1121a","Prep-m | N-proper-ms"
"H1121a","Conj-w | N-ms"
"H1121a","Conj-w, Prep-l | N-mpc | 3mp"
"H1121a","Conj-w, Art | N-mp"
"H1121a","Prep-m | N-mp"
"H1121a","Conj-w | N-mpc | 1cs"
"H1121a","Prep-b | N-mpc | 1cp"
"H1121a","Prep-k | N-mpc | 3mp"
"H1121a","N-mpc | 1cp"
"H1121b","N-msc | 3ms"
"H1121b","N-msc"
"H1124",""
"H1125",""
"H1127",""
"H1128",""
"H1133",""
"H1145",""
