"id","new_id"
"0100401201","H3588a-005"
"0100401208","H3581b-007"
"0100401302","H7014b-002"
"0100401305","H1419a-025"
"0100401405","H5921a-010"
"0100401504","H3651c-006"
"0100401507","H7014b-002"
"0100401510","H7760a-096"
"0100401512","H7014b-003"
"0100401602","H7014b-002"
"0100401609","H5731b-002"
"0100401702","H7014b-002"
"0100401711","H5892b-004"
"0100401714","H5892b-039"
"0100401716","H1121a-049"
"0100402210","H5178a-017"
"0100402214","H5279a-001"
"0100402307","H6963a-013"
"0100402311","H0565a-011"
"0100402312","H3588a-005"
"0100402313","H0376-002"
"0100402401","H3588a-005"
"0100402404","H7014b-002"
"0100402507","H1121a-065"
"0100402512","H3588a-005"
"0100402520","H3588a-005"
"0100402522","H7014b-002"
"0100402605","H1121a-065"
"0100402610","H0227a-001"
"0100402611","H2490c-029"
"0100500102","H5612a-003"
"0100500106","H1254a-019"
"0100500111","H6213a-125"
"0100500203","H1254a-013"
"0100500211","H1254a-014"
"0100500404","H0310a-024"
"0100500412","H1121a-079"
"0100500505","H0834a-003"
"0100500506","H2425-006"
"0100500703","H0310a-024"
"0100500713","H1121a-079"
"0100501003","H0310a-024"
"0100501014","H1121a-079"
"0100501303","H0310a-024"
"0100501313","H1121a-079"
"0100501603","H0310a-024"
"0100501613","H1121a-079"
"0100501903","H0310a-024"
"0100501911","H1121a-079"
"0100502205","H0310a-024"
"0100502213","H1121a-079"
"0100502406","H3588a-005"
"0100502603","H0310a-024"
"0100502614","H1121a-079"
"0100502809","H1121a-065"
"0100502911","H4480a-010"
"0100502913","H0834a-003"
"0100503003","H0310a-024"
"0100503014","H1121a-079"
"0100503203","H1121a-073"
"0100600102","H3588a-005"
"0100600103","H2490c-065"
"0100600106","H5921a-006"
"0100600202","H1121a-030"
"0100600207","H3588a-005"
"0100600208","H2896a-039"
"0100600214","H0834a-003"
"0100600407","H0310a-024"
"0100600408","H3651c-006"
"0100600409","H0834a-003"
"0100600411","H1121a-030"
"0100600420","H0834a-003"
"0100600503","H3588a-005"
"0100600504","H7227a-032"
"0100600505","H7451c-028"
"0100600511","H3820a-012"
"0100600513","H7451a-002"
"0100600603","H3588a-005"
"0100600604","H6213a-125"
"0100600608","H6087a-007"
"0100600610","H3820a-012"
"0100600703","H4229a-015"
"0100600706","H0834a-003"
"0100600707","H1254a-010"
"0100600708","H5921a-010"
"0100600719","H3588a-005"
"0100600721","H3588a-005"
"0100600722","H6213a-100"
"0100600804","H5869a-038"
"0100600905","H0376-002"
"0100601004","H1121a-079"
"0100601207","H3588a-005"
"0100601213","H5921a-006"
"0100601309","H3588a-005"
"0100601314","H2009-014"
"0100601401","H6213a-162"
"0100601407","H6213a-026"
"0100601410","H3722b-001"
"0100601412","H1004b-025"
"0100601414","H3724b-001"
"0100601502","H0834a-003"
"0100601503","H6213a-026"
"0100601507","H0520a-010"
"0100601511","H0520a-010"
"0100601514","H0520a-010"
"0100601601","H6672b-001"
"0100601602","H6213a-026"
"0100601605","H0520a-010"
"0100601611","H7760a-031"
"0100601615","H6213a-042"
"0100601702","H2009-005"
"0100601707","H5921a-006"
"0100601712","H0834a-003"
"0100601715","H2416e-003"
"0100601719","H0834a-003"
"0100601801","H6965b-013"
"0100601808","H0859a-004"
"0100601809","H1121a-016"
"0100601812","H1121a-038"
"0100601902","H2416a-003"
"0100602003","H4480a-012"
"0100602101","H0859a-005"
"0100602106","H0834a-003"
"0100602201","H6213a-010"
"0100602204","H0834a-003"
"0100602208","H3651c-006"
"0100602209","H6213a-125"
"0100700105","H0859a-004"
"0100700107","H1004b-073"
"0100700110","H3588a-005"
"0100700210","H4480a-012"
"0100700212","H0834a-003"
"0100700310","H5921a-006"
"0100700401","H3588a-005"
"0100700407","H5921a-006"
"0100700413","H4229a-008"
"0100700417","H0834a-003"
"0100700418","H6213a-117"
"0100700419","H5921a-010"
"0100700501","H6213a-010"
"0100700504","H0834a-003"
"0100700602","H1121a-073"
"0100700609","H5921a-006"
"0100700703","H1121a-052"
"0100700706","H1121a-023"
"0100700801","H4480a-010"
"0100700804","H4480a-012"
"0100700806","H0834a-003"
"0100700809","H4480a-012"
"0100700812","H0834a-003"
"0100700814","H5921a-006"
"0100700910","H0834d-003"
"0100701007","H5921a-006"
"0100701105","H2416e-002"
"0100701119","H7227a-032"
"0100701122","H6605a-044"
"0100701203","H5921a-006"
"0100701309","H1121a-030"
"0100701315","H1121a-023"
"0100701403","H2416c-008"
"0100701411","H5921a-006"
"0100701510","H0834a-003"
"0100701513","H2416e-003"
"0100701607","H0834d-003"
"0100701705","H5921a-006"
"0100701707","H7235a-074"
"0100701712","H7311a-079"
"0100701713","H5921a-010"
"0100701803","H7235a-074"
"0100701805","H5921a-006"
"0100701807","H3212-036"
"0100701809","H5921a-006"
"0100701905","H5921a-006"
"0100701911","H0834a-003"
"0100702003","H0520a-010"
"0100702105","H5921a-006"
"0100702109","H2416c-014"
"0100702113","H5921a-006"
"0100702202","H0834a-003"
"0100702205","H2416e-003"
"0100702208","H0834a-003"
"0100702301","H4229a-012"
"0100702305","H0834a-003"
"0100702306","H5921a-006"
"0100702317","H4229a-022"
"0100702318","H4480a-010"
"0100702323","H0834a-006"
"0100702403","H5921a-006"
"0100800107","H2416c-008"
"0100800111","H0834a-003"
"0100800114","H5674a-002"
"0100800117","H5921a-006"
"0100800208","H4480a-010"
"0100800303","H5921a-010"
"0100800309","H7097a-013"
"0100800409","H5921a-006"
"0100800512","H7218a-036"
"0100800605","H6605a-021"
"0100800610","H0834a-003"
"0100800611","H6213a-125"
"0100800710","H5921a-010"
"0100800808","H5921a-010"
"0100800911","H3588a-005"
"0100800913","H5921a-006"
"0100801001","H2342a-001"
"0100801010","H4480a-010"
"0100801113","H3588a-005"
"0100801116","H5921a-010"
"0100801309","H2717a-009"
"0100801311","H5921a-010"
"0100801320","H2717a-009"
"0100801602","H4480a-010"
"0100801604","H0859a-004"
"0100801606","H1121a-016"
"0100801608","H1121a-038"
"0100801702","H2416c-008"
"0100801703","H0834a-003"
"0100801712","H5921a-006"
"0100801720","H7235a-044"
"0100801721","H5921a-006"
"0100801803","H1121a-052"
"0100801806","H1121a-023"
"0100801902","H2416c-008"
"0100801909","H5921a-006"
"0100801913","H4480a-010"
"0100802013","H5930a-013"
"0100802109","H3820a-012"
"0100802118","H3588a-005"
"0100802120","H3820a-037"
"0100802122","H7451a-002"
"0100802123","H5271a-007"
"0100802130","H2416a-014"
"0100802131","H0834d-003"
"0100802132","H6213a-117"
"0100802206","H7105a-012"
"0100802214","H7673a-010"
"0100900106","H1121a-023"
"0100900110","H7235a-071"
"0100900201","H4172a-009"
"0100900202","H2844a-002"
"0100900204","H5921a-006"
"0100900206","H2416c-022"
"0100900208","H5921a-015"
"0100900213","H0834a-003"
"0100900303","H0834a-003"
"0100900305","H2416a-009"
"0100900508","H2416c-016"
"0100900607","H3588a-005"
"0100900610","H6213a-125"
"0100900701","H0859d-002"
"0100900703","H7235a-071"
"0100900706","H7235a-071"
"0100900806","H1121a-023"
"0100900902","H2009-005"
"0100900903","H6965b-057"
"0100900909","H0310a-022"
"0100901004","H2416a-012"
"0100901005","H0834a-003"
"0100901010","H2416c-022"
"0100901017","H2416c-022"
"0100901101","H6965b-013"
"0100901206","H0834a-003"
"0100901214","H2416a-007"
"0100901215","H0834a-003"
"0100901402","H6049a-001"
"0100901404","H5921a-006"
"0100901504","H0834a-003"
"0100901510","H2416a-007"
"0100901613","H2416a-007"
"0100901616","H0834a-003"
"0100901617","H5921a-006"
"0100901708","H0834a-003"
"0100901709","H6965b-054"
"0100901714","H0834a-003"
"0100901715","H5921a-006"
"0100901802","H1121a-030"
"0100901805","H4480a-010"
"0100901813","H3667a-001"
"0100901903","H1121a-030"
"0100901906","H5310b-004"
"0100902001","H2490c-046"
"0100902003","H0376-005"
"0100902102","H4480a-010"
"0100902204","H3667a-001"
"0100902306","H7760a-058"
"0100902307","H5921a-006"
"0100902310","H3212-017"
"0100902406","H0834a-003"
"0100902407","H6213a-125"
"0100902409","H1121a-049"
"0100902410","H6996a-001"
"0100902503","H3667a-001"
"0100902607","H3667a-001"
"0100902701","H6601a-003"
"0100902708","H3667a-001"
"0100902803","H0310a-029"
"0101000103","H1121a-030"
"0101000110","H1121a-079"
"0101000111","H0310a-029"
"0101000201","H1121a-030"
"0101000301","H1121a-046"
"0101000304","H7384b-001"
"0101000401","H1121a-046"
"0101000504","H1471a-022"
"0101000509","H1471a-013"
"0101000601","H1121a-046"
"0101000603","H3568a-002"
"0101000606","H3667a-002"
"0101000701","H1121a-046"
"0101000702","H3568a-005"
"0101000708","H1121a-046"
"0101000711","H1719a-003"
"0101000801","H3568a-004"
"0101000806","H2490c-065"
"0101000904","H6718a-005"
"0101000907","H5921a-006"
"0101000908","H3651c-006"
"0101000912","H6718a-005"
"0101001007","H3641a-001"
"0101001101","H4480a-010"
"0101001111","H5892b-004"
"0101001208","H5892b-039"
"0101001209","H1419a-008"
"0101001405","H0834a-003"
"0101001501","H3667a-002"
"0101001807","H0310a-026"
"0101001808","H6327a-017"
"0101001810","H3669a-002"
"0101001903","H3669a-002"
"0101002002","H1121a-030"
"0101002007","H1471a-013"
"0101002107","H1121a-030"
"0101002111","H1419a-015"
"0101002201","H1121a-030"
"0101002203","H5867a-002"
"0101002301","H1121a-046"
"0101002504","H1121a-079"
"0101002508","H3588a-005"
"0101002702","H1913a-001"
"0101002909","H1121a-030"
"0101003007","H6924a-006"
"0101003102","H1121a-030"
"0101003107","H1471a-027"
"0101003203","H1121a-030"
"0101003206","H1471a-013"
"0101003209","H1471a-022"
"0101003211","H0310a-029"
"0101100203","H6924a-001"
"0101100306","H3835b-001"
"0101100317","H2563a-005"
"0101100405","H5892b-004"
"0101100407","H7218a-048"
"0101100409","H6213a-103"
"0101100413","H6327a-006"
"0101100414","H5921a-006"
"0101100505","H5892b-039"
"0101100508","H0834a-003"
"0101100510","H1121a-030"
"0101100604","H5971a-028"
"0101100610","H2490c-040"
"0101100611","H6213a-068"
"0101100617","H0834a-003"
"0101100619","H6213a-068"
"0101100703","H1101a-003"
"0101100706","H0834a-003"
"0101100709","H0376-002"
"0101100801","H6327a-040"
"0101100805","H5921a-006"
"0101100811","H5892b-039"
"0101100901","H5921a-006"
"0101100902","H3651c-006"
"0101100906","H3588a-005"
"0101100908","H1101a-006"
"0101100914","H6327a-031"
"0101100916","H5921a-006"
"0101101005","H1121a-073"
"0101101012","H0310a-029"
"0101101103","H0310a-024"
"0101101111","H1121a-079"
"0101101303","H0310a-024"
"0101101313","H1121a-079"
"0101101503","H0310a-024"
"0101101513","H1121a-079"
"0101101703","H0310a-024"
"0101101713","H1121a-079"
"0101101903","H0310a-024"
"0101101912","H1121a-079"
"0101102103","H0310a-024"
"0101102112","H1121a-079"
"0101102303","H0310a-024"
"0101102310","H1121a-079"
"0101102503","H0310a-024"
"0101102513","H1121a-079"
"0101102803","H5921a-006"
"0101102809","H0218b-002"
"0101103105","H1121a-049"
"0101103108","H1121a-073"
"0101103110","H1121a-073"
"0101103111","H1121a-049"
"0101103117","H1121a-049"
"0101103120","H0218b-001"
"0101103122","H3212-073"
"0101103124","H3667a-001"
"0101103127","H2771a-003"
"0101103210","H2771a-004"
"0101200105","H3212-085"
"0101200109","H1004b-063"
"0101200113","H0834a-003"
"0101200201","H6213a-126"
"0101200202","H1471a-019"
"0101200203","H1419a-025"
"0101200401","H3212-024"
"0101200403","H0834d-003"
"0101200407","H3212-024"
"0101200411","H1121a-073"
"0101200417","H2771a-001"
"0101200508","H1121a-073"
"0101200513","H0834a-003"
"0101200517","H0834a-003"
"0101200518","H6213a-063"
"0101200519","H2771a-004"
"0101200521","H3212-073"
"0101200523","H3667a-001"
"0101200526","H3667a-001"
"0101200601","H5674a-106"
"0101200610","H3669a-007"
"0101200611","H0227a-001"
"0101200804","H6924a-001"
"0101200811","H6924a-001"
"0101201007","H1481a-001"
"0101201009","H3588a-005"
"0101201102","H0834d-003"
"0101201113","H3588a-005"
"0101201117","H0859c-003"
"0101201202","H3588a-005"
"0101201304","H0859c-003"
"0101201409","H3588a-005"
"0101201505","H1984b-009"
"0101201511","H1004b-064"
"0101201706","H1419a-024"
"0101201708","H1004b-018"
"0101201709","H5921a-006"
"0101201807","H6213a-036"
"0101201813","H3588a-005"
"0101201913","H3212-038"
"0101202002","H5921a-026"
"0101202011","H0834a-003"
"0101300107","H0834a-003"
"0101300110","H5973a-017"
"0101300301","H3212-024"
"0101300308","H0834a-003"
"0101300404","H0834a-003"
"0101300405","H6213a-125"
"0101300606","H3162b-002"
"0101300607","H3588a-005"
"0101300610","H7227a-012"
"0101300614","H3162b-002"
"0101300711","H3669a-007"
"0101300713","H0227a-001"
"0101300815","H3588a-005"
"0101300907","H5921a-021"
"0101300908","H0518a-003"
"0101300911","H0518a-002"
"0101301004","H5869a-063"
"0101301010","H3588a-005"
"0101301012","H4945b-001"
"0101301110","H6924a-001"
"0101301113","H5921a-010"
"0101301204","H3667a-001"
"0101301207","H5892b-037"
"0101301303","H7451a-023"
"0101301405","H0310a-024"
"0101301408","H5973b-004"
"0101301411","H5869a-066"
"0101301413","H4480a-010"
"0101301415","H0834a-003"
"0101301416","H0859a-004"
"0101301420","H6924b-002"
"0101301501","H3588a-005"
"0101301505","H0834a-003"
"0101301506","H0859a-004"
